,horizon,prediction,observed,basin_id
601,2,3.3945978,3.0799997,CA_15013
602,3,3.4170554,2.6299999,CA_15013
603,4,3.4323862,2.48,CA_15013
604,5,3.444987,2.7799997,CA_15013
605,6,3.4354582,2.7799997,CA_15013
606,7,3.4395902,3.0799997,CA_15013
607,8,3.4308758,2.7799997,CA_15013
608,9,3.4341936,3.0799997,CA_15013
609,10,3.403465,3.63,CA_15013
610,1,3.2073355,3.0799997,CA_15013
611,2,3.242659,2.6299999,CA_15013
612,3,3.2651708,2.48,CA_15013
613,4,3.2817087,2.7799997,CA_15013
614,5,3.2971551,2.7799997,CA_15013
615,6,3.2960038,3.0799997,CA_15013
616,7,3.3051155,2.7799997,CA_15013
617,8,3.301127,3.0799997,CA_15013
618,9,3.3068488,3.63,CA_15013
619,10,3.2804797,3.63,CA_15013
620,1,3.0890062,2.6299999,CA_15013
621,2,3.1663802,2.48,CA_15013
622,3,3.2367492,2.7799997,CA_15013
623,4,3.294654,2.7799997,CA_15013
624,5,3.3454418,3.0799997,CA_15013
625,6,3.380692,2.7799997,CA_15013
626,7,3.4155254,3.0799997,CA_15013
627,8,3.4351325,3.63,CA_15013
628,9,3.4656026,3.63,CA_15013
629,10,3.4593048,3.2699997,CA_15013
630,1,2.825507,2.48,CA_15013
631,2,2.9477057,2.7799997,CA_15013
632,3,3.0556867,2.7799997,CA_15013
633,4,3.1351604,3.0799997,CA_15013
634,5,3.198896,2.7799997,CA_15013
635,6,3.2362514,3.0799997,CA_15013
636,7,3.274257,3.63,CA_15013
637,8,3.2988372,3.63,CA_15013
638,9,3.3360882,3.2699997,CA_15013
639,10,3.3339393,2.9299996,CA_15013
640,1,2.7807834,2.7799997,CA_15013
641,2,2.9347994,2.7799997,CA_15013
642,3,3.070232,3.0799997,CA_15013
643,4,3.1703267,2.7799997,CA_15013
644,5,3.2494802,3.0799997,CA_15013
645,6,3.2972465,3.63,CA_15013
646,7,3.3440967,3.63,CA_15013
647,8,3.3774717,3.2699997,CA_15013
648,9,3.4248912,2.9299996,CA_15013
649,10,3.4302204,3.63,CA_15013
650,1,2.9547768,2.7799997,CA_15013
651,2,3.101481,3.0799997,CA_15013
652,3,3.2266912,2.7799997,CA_15013
653,4,3.3199944,3.0799997,CA_15013
654,5,3.3949928,3.63,CA_15013
655,6,3.4427202,3.63,CA_15013
656,7,3.490551,3.2699997,CA_15013
657,8,3.5252924,2.9299996,CA_15013
658,9,3.5718539,3.63,CA_15013
659,10,3.57547,4.1999993,CA_15013
660,1,3.0635862,3.0799997,CA_15013
661,2,3.1350217,2.7799997,CA_15013
662,3,3.1849709,3.0799997,CA_15013
663,4,3.2290888,3.63,CA_15013
